Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
Casas,270m²,1750000,4,4,2,Tabajaras
Casas,138m²,720000,4,4,2,Zoobotânico
Apartamentos,142m²,1159400,2,4,3,São Cristóvão
Apartamentos,56m²,329500,2,2,1,Nossa Senhora das Graças
Casas,311m²,3500000,4,5 ou mais,5 ou mais,Tabajaras
Apartamentos,46m²,129900,2,1,1,Vale do Gavião
Casas,130m²,560000,3,4,3,Jóquei
Apartamentos,63m²,330000,3,2,2,Piçarreira
Apartamentos,60m²,280000,2,1,1,Uruguai
Apartamentos,77m²,330000,3,2,2,Uruguai
Apartamentos,70m²,350000,3,2,1,Jóquei
Casas,100m²,420000,3,3,2,Gurupi
Apartamentos,187m²,1207000,3,3,2,Noivos
Apartamentos,50m²,145000,2,1,1,Aroeiras
Casas,441m²,200000,5 ou mais,1,,Piçarreira
Apartamentos,187m²,700000,4,4,2,Horto
Apartamentos,65m²,190000,3,2,1,Novo Horizonte
Apartamentos,130m²,1300000,4,5 ou mais,2,Fátima
Apartamentos,60m²,280000,2,1,1,Santa Isabel
Casas,315m²,2600000,4,5 ou mais,4,Gurupi
Apartamentos,43m²,35000,2,1,1,Novo Horizonte
Apartamentos,42m²,180000,2,1,1,Uruguai
Apartamentos,150m²,130000,2,1,1,Nova Brasília
Apartamentos,225m²,2185000,4,4,4,Jóquei
Casas,150m²,200000,4,2,4,
Apartamentos,107m²,890000,3,4,2,Horto
Apartamentos,77m²,360000,3,2,2,Morros
Apartamentos,60m²,125000,2,1,1,Morada Nova
Apartamentos,42m²,140000,2,1,1,Morada do Sol
Casas,230m²,340000,3,1,2,Parque Ideal
Casas,450m²,600000,3,1,5 ou mais,Santa Isabel
Casas,200m²,820000,4,5 ou mais,3,Gurupi
Apartamentos,68m²,320000,3,2,,Planalto
Apartamentos,68m²,195000,3,2,1,Parque Piauí
Apartamentos,74m²,200000,3,2,1,Lourival Parente
Casas,200m²,250000,2,1,2,Itararé
Apartamentos,38m²,180500,2,2,2,Uruguai
Casas,210m²,1150000,4,4,2,Morros
Apartamentos,190m²,850000,3,3,2,Ininga
Apartamentos,54m²,288500,2,2,2,São Cristóvão
Apartamentos,69m²,240000,3,2,1,Centro
Apartamentos,49m²,130000,2,1,1,Santa Maria
Apartamentos,76m²,630000,3,3,2,Horto
Apartamentos,38m²,157500,2,1,1,Gurupi
Apartamentos,69m²,220000,2,2,1,Horto
Apartamentos,75m²,230000,3,1,1,Piçarreira
Apartamentos,64m²,300000,3,2,1,Gurupi
Apartamentos,76m²,580000,3,2,2,Horto
Apartamentos,196m²,890000,4,1,2,Frei Serafim
Apartamentos,168m²,1657000,3,3,2,Jóquei
Casas,350m²,1300000,3,3,4,Ininga
Casas,200m²,500000,3,2,1,Morro da Esperança
Apartamentos,56m²,225000,2,1,1,Aeroporto
Apartamentos,60m²,240000,2,1,2,Aeroporto
Apartamentos,71m²,390000,3,2,2,Noivos
